Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,2.750000,2.753000,2.721000,2.722000,2.722000,0
2019-03-05,2.742000,2.750000,2.722000,2.722000,2.722000,0
2019-03-06,2.711000,2.719000,2.679000,2.692000,2.692000,0
2019-03-07,2.679000,2.681000,2.636000,2.636000,2.636000,0
2019-03-08,2.634000,2.652000,2.607000,2.625000,2.625000,0
2019-03-10,null,null,null,null,null,null
2019-03-11,2.645000,2.652000,2.632000,2.643000,2.643000,0
2019-03-12,2.654000,2.656000,2.600000,2.605000,2.605000,0
2019-03-13,2.621000,2.629000,2.611000,2.611000,2.611000,0
2019-03-14,2.627000,2.645000,2.611000,2.630000,2.630000,0
2019-03-15,2.623000,2.623000,2.580000,2.593000,2.593000,0
2019-03-17,null,null,null,null,null,null
2019-03-18,2.603000,2.611000,2.589000,2.602000,2.602000,0
2019-03-19,2.611000,2.634000,2.600000,2.614000,2.614000,0
2019-03-20,2.600000,2.600000,2.528000,2.535000,2.535000,0
2019-03-21,2.500000,2.544000,2.500000,2.537000,2.537000,0
2019-03-22,2.471000,2.482000,2.418000,2.455000,2.455000,0
2019-03-24,null,null,null,null,null,null
2019-03-25,2.460000,2.464000,2.377000,2.420000,2.420000,0
2019-03-26,2.448000,2.448000,2.407000,2.414000,2.414000,0
2019-03-27,2.379000,2.405000,2.356000,2.374000,2.374000,0
2019-03-28,2.375000,2.405000,2.366000,2.389000,2.389000,0
2019-03-29,2.421000,2.433000,2.403000,2.414000,2.414000,0
2019-03-31,null,null,null,null,null,null
2019-04-01,2.442000,2.499000,2.424000,2.497000,2.497000,0
2019-04-02,2.474000,2.492000,2.469000,2.481000,2.481000,0
2019-04-03,2.515000,2.524000,2.503000,2.517000,2.517000,0
2019-04-04,2.508000,2.522000,2.503000,2.512000,2.512000,0
2019-04-05,2.537000,2.544000,2.494000,2.501000,2.501000,0
2019-04-07,null,null,null,null,null,null
2019-04-08,2.504000,2.519000,2.501000,2.519000,2.519000,0
2019-04-09,2.517000,2.517000,2.485000,2.499000,2.499000,0
2019-04-10,2.502000,2.510000,2.463000,2.477000,2.477000,0
2019-04-11,2.485000,2.510000,2.485000,2.504000,2.504000,0
2019-04-12,2.542000,2.562000,2.540000,2.560000,2.560000,0
2019-04-14,null,null,null,null,null,null
2019-04-15,2.567000,2.574000,2.549000,2.553000,2.553000,0
2019-04-16,2.574000,2.596000,2.571000,2.592000,2.592000,0
2019-04-17,2.599000,2.614000,2.581000,2.592000,2.592000,0
2019-04-18,2.563000,2.583000,2.549000,2.560000,2.560000,0
2019-04-21,null,null,null,null,null,null
2019-04-22,2.565000,2.592000,2.565000,2.590000,2.590000,0
2019-04-23,2.592000,2.592000,2.563000,2.570000,2.570000,0
2019-04-24,2.536000,2.538000,2.518000,2.522000,2.522000,0
2019-04-25,2.524000,2.542000,2.516000,2.534000,2.534000,0
2019-04-26,2.527000,2.545000,2.495000,2.505000,2.505000,0
2019-04-28,null,null,null,null,null,null
2019-04-29,2.505000,2.541000,2.504000,2.536000,2.536000,0
2019-04-30,2.532000,2.550000,2.504000,2.509000,2.509000,0
2019-05-01,2.504000,2.511000,2.455000,2.511000,2.511000,0
2019-05-02,2.511000,2.558000,2.509000,2.552000,2.552000,0
2019-05-03,2.563000,2.576000,2.516000,2.531000,2.531000,0
2019-05-05,null,null,null,null,null,null
2019-05-06,2.491000,2.502000,2.480000,2.500000,2.500000,0
2019-05-07,2.478000,2.482000,2.446000,2.448000,2.448000,0
2019-05-08,2.439000,2.487000,2.430000,2.482000,2.482000,0
2019-05-09,2.444000,2.471000,2.425000,2.457000,2.457000,0
2019-05-10,2.446000,2.460000,2.426000,2.455000,2.455000,0
2019-05-12,null,null,null,null,null,null
2019-05-13,2.423000,2.426000,2.389000,2.405000,2.405000,0
2019-05-14,2.414000,2.428000,2.402000,2.419000,2.419000,0
2019-05-15,2.370000,2.391000,2.361000,2.379000,2.379000,0
2019-05-16,2.382000,2.414000,2.380000,2.405000,2.405000,0
2019-05-17,2.370000,2.409000,2.364000,2.393000,2.393000,0
2019-05-19,null,null,null,null,null,null
2019-05-20,2.386000,2.418000,2.380000,2.416000,2.416000,0
2019-05-21,2.428000,2.441000,2.419000,2.426000,2.426000,0
2019-05-22,2.412000,2.414000,2.386000,2.393000,2.393000,0
2019-05-23,2.361000,2.364000,2.294000,2.296000,2.296000,0
2019-05-24,2.315000,2.334000,2.308000,2.324000,2.324000,0
2019-05-26,null,null,null,null,null,null
2019-05-28,2.299000,2.299000,2.264000,2.268000,2.268000,0
2019-05-29,2.231000,2.247000,2.210000,2.236000,2.236000,0
2019-05-30,2.261000,2.276000,2.226000,2.227000,2.227000,0
2019-05-31,2.161000,2.184000,2.137000,2.142000,2.142000,0
2019-06-02,null,null,null,null,null,null
2019-06-03,2.112000,2.130000,2.081000,2.081000,2.081000,0
2019-06-04,2.126000,2.147000,2.102000,2.119000,2.119000,0
2019-06-05,2.097000,2.130000,2.080000,2.123000,2.123000,0
2019-06-06,2.105000,2.135000,2.092000,2.124000,2.124000,0
2019-06-07,2.105000,2.105000,2.053000,2.084000,2.084000,0
2019-06-09,null,null,null,null,null,null
2019-06-10,2.135000,2.147000,2.115000,2.143000,2.143000,0
2019-06-11,2.171000,2.174000,2.138000,2.140000,2.140000,0
2019-06-12,2.122000,2.143000,2.110000,2.127000,2.127000,0
2019-06-13,2.112000,2.120000,2.082000,2.091000,2.091000,0
2019-06-14,2.075000,2.110000,2.075000,2.093000,2.093000,0
2019-06-16,null,null,null,null,null,null
2019-06-17,2.094000,2.103000,2.079000,2.086000,2.086000,0
2019-06-18,2.035000,2.075000,2.029000,2.060000,2.060000,0
2019-06-19,2.084000,2.099000,2.022000,2.029000,2.029000,0
2019-06-20,1.994000,2.015000,1.975000,2.001000,2.001000,0
2019-06-21,2.026000,2.070000,2.018000,2.068000,2.068000,0
2019-06-23,null,null,null,null,null,null
2019-06-24,2.032000,2.042000,2.014000,2.021000,2.021000,0
2019-06-25,2.012000,2.014000,1.982000,1.994000,1.994000,0
2019-06-26,2.016000,2.049000,2.006000,2.049000,2.049000,0
2019-06-27,2.040000,2.045000,2.004000,2.005000,2.005000,0
2019-06-28,2.012000,2.033000,1.998000,2.000000,2.000000,0
2019-06-30,null,null,null,null,null,null
2019-07-01,2.026000,2.048000,2.005000,2.034000,2.034000,0
2019-07-02,2.024000,2.024000,1.974000,1.976000,1.976000,0
2019-07-03,null,null,null,null,null,null
2019-07-05,1.970000,2.068000,1.965000,2.048000,2.048000,0
2019-07-07,null,null,null,null,null,null
2019-07-08,2.030000,2.036000,2.013000,2.034000,2.034000,0
2019-07-09,2.060000,2.068000,2.046000,2.054000,2.054000,0
2019-07-10,2.101000,2.105000,2.041000,2.061000,2.061000,0
2019-07-11,2.068000,2.134000,2.058000,2.120000,2.120000,0
2019-07-12,2.122000,2.148000,2.105000,2.106000,2.106000,0
2019-07-14,null,null,null,null,null,null
2019-07-15,2.113000,2.115000,2.090000,2.092000,2.092000,0
2019-07-16,2.099000,2.143000,2.096000,2.122000,2.122000,0
2019-07-17,2.092000,2.097000,2.057000,2.061000,2.061000,0
2019-07-18,2.059000,2.078000,2.035000,2.038000,2.038000,0
2019-07-19,2.047000,2.064000,2.038000,2.048000,2.048000,0
2019-07-21,null,null,null,null,null,null
2019-07-22,2.050000,2.050000,2.027000,2.043000,2.043000,0
2019-07-23,2.048000,2.076000,2.043000,2.074000,2.074000,0
2019-07-24,2.052000,2.060000,2.038000,2.050000,2.050000,0
2019-07-25,2.017000,2.100000,2.012000,2.074000,2.074000,0
2019-07-26,2.069000,2.100000,2.063000,2.081000,2.081000,0
2019-07-28,null,null,null,null,null,null
2019-07-29,2.058000,2.067000,2.048000,2.055000,2.055000,0
2019-07-30,2.055000,2.075000,2.041000,2.061000,2.061000,0
2019-07-31,2.051000,2.072000,2.009000,2.021000,2.021000,0
2019-08-01,2.028000,2.028000,1.878000,1.894000,1.894000,0
2019-08-02,1.866000,1.907000,1.842000,1.855000,1.855000,0
2019-08-04,null,null,null,null,null,null
2019-08-05,1.762000,1.787000,1.729000,1.735000,1.735000,0
2019-08-06,1.753000,1.772000,1.731000,1.739000,1.739000,0
2019-08-07,1.630000,1.685000,1.595000,1.684000,1.684000,0
2019-08-08,1.719000,1.793000,1.705000,1.716000,1.716000,0
2019-08-09,1.716000,1.734000,1.680000,1.734000,1.734000,0
2019-08-11,null,null,null,null,null,null
2019-08-12,1.690000,1.697000,1.628000,1.639000,1.639000,0
2019-08-13,1.645000,1.717000,1.635000,1.680000,1.680000,0
2019-08-14,1.601000,1.618000,1.581000,1.581000,1.581000,0
2019-08-15,1.557000,1.594000,1.475000,1.529000,1.529000,0
2019-08-16,1.537000,1.593000,1.532000,1.539000,1.539000,0
2019-08-18,null,null,null,null,null,null
2019-08-19,1.596000,1.618000,1.584000,1.598000,1.598000,0
2019-08-20,1.579000,1.579000,1.540000,1.561000,1.561000,0
2019-08-21,1.586000,1.593000,1.547000,1.577000,1.577000,0
2019-08-22,1.622000,1.623000,1.572000,1.610000,1.610000,0
2019-08-23,1.611000,1.622000,1.506000,1.528000,1.528000,0
2019-08-25,null,null,null,null,null,null
2019-08-26,1.517000,1.549000,1.508000,1.545000,1.545000,0
2019-08-27,1.513000,1.522000,1.471000,1.490000,1.490000,0
2019-08-28,1.458000,1.481000,1.446000,1.466000,1.466000,0
2019-08-29,1.496000,1.535000,1.478000,1.516000,1.516000,0
2019-08-30,1.525000,1.532000,1.501000,1.506000,1.506000,0
2019-09-01,null,null,null,null,null,null
2019-09-03,1.483000,1.511000,1.429000,1.466000,1.466000,0
2019-09-04,1.493000,1.499000,1.451000,1.459000,1.459000,0
2019-09-05,1.520000,1.591000,1.518000,1.565000,1.565000,0
2019-09-06,1.605000,1.606000,1.540000,1.550000,1.550000,0
2019-09-08,null,null,null,null,null,null
2019-09-09,1.596000,1.635000,1.587000,1.622000,1.622000,0
2019-09-10,1.647000,1.704000,1.635000,1.702000,1.702000,0
2019-09-11,1.730000,1.752000,1.720000,1.733000,1.733000,0
